Affiliation,PrefClassYear,Degrees,StateOrProvince,Country
Alumni,1983.0,"BSc Geop Eng '83, Geop Engineer '99",CO,
Alumni,1995.0,BSc Geop Eng '95,CO,
Alumni,2013.0,MSc Geop '13,,Bahrain
Alumni,1999.0,MSc Geop '99,,United Kingdom
Alumni,1982.0,BSc Geop Eng '82,OK,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1999.0,MSc Geop '99,WY,
Alumni,1987.0,Geop Engineer '87,GA,
Alumni,1953.0,Geop Engineer '53,AZ,
Alumni,1991.0,"BSc Geop Eng '91, BSc Math & Comp Sci '91",TX,
Alumni,1957.0,MSc Geop '57,WA,
Alumni,1987.0,BSc Geop Eng '87,TX,
Alumni,1981.0,BSc Geop Eng '81,TX,
Alumni,1981.0,"BSc Geop Eng '81, MSc Geop '88",CO,
Alumni,1983.0,BSc Geop Eng '83,NV,
Alumni,1990.0,MSc Geop '90,TX,
Alumni,1974.0,MSc Geop '74,MA,
Alumni,1982.0,"BSc Geop Eng '82, BSc ME Math '82",,Malaysia
Alumni,2016.0,"BSc Geop Eng '16, MSc Geop '18",,Thailand
Alumni,1972.0,"BSc Geop Eng '72, MSc Geop '78",MA,
Alumni,1990.0,PhD Geop '90,CO,
Alumni,2020.0,"MSc Geop Eng '20, MSc Min & Engy Econ  '20",CO,
Alumni,2018.0,"BSc Geop Eng '18, MSc Eng & Tech Mgmt '19",CO,
Alumni,2021.0,MSc Geop '21,CO,
Alumni,2021.0,BSc Geop Eng '21,,Saudi Arabia
Alumni,1987.0,Geop Engineer '87,,Saudi Arabia
Alumni,2014.0,BSc Geop Eng '14,NY,
Alumni,1997.0,MSc Geop '97,MA,
Alumni,2012.0,BSc Geop Eng '12,,Saudi Arabia
Alumni,1991.0,PhD Geop Eng '91,,Saudi Arabia
Alumni,1987.0,"MSc Geop Eng '87, PhD Geop Eng '93",,Saudi Arabia
Alumni,1987.0,MSc Geop '87,,Saudi Arabia
Alumni,2017.0,MSc Geop Eng '17,,Saudi Arabia
Alumni,1996.0,MSc Geop '96,,Saudi Arabia
Alumni,2009.0,BSc Geop Eng '09,,Saudi Arabia
Alumni,2011.0,BSc Geop Eng '11,,Saudi Arabia
Alumni,1967.0,"Geop Engineer '67, ME Math '67, MSc Math & Comp Sci '70",CA,
Alumni,2020.0,BSc Geop Eng '20,,Saudi Arabia
Alumni,1991.0,Geop Engineering '91,,Saudi Arabia
Alumni,2019.0,BSc Geop Eng '19,CO,
Alumni,2016.0,Pro M Pet Res Sys '16,,Egypt
Alumni,2021.0,BSc Geop Eng '21,CO,
Alumni,1996.0,BSc Geop Eng '96,,United Arab Emirates
Alumni,1965.0,MSc Geop '65,CA,
Alumni,2003.0,BSc Geop Eng '03,,Saudi Arabia
Alumni,2011.0,BSc Geop Eng '11,CO,
Alumni,1965.0,Geop Engineer '65,CA,
Alumni,1987.0,MSc Geop '87,CO,
Alumni,1985.0,BSc Geop Eng '85,MI,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1981.0,BSc Geop Eng '81,LA,
Alumni,1990.0,M Eng Geop E '90,,Saudi Arabia
Alumni,1988.0,M Eng Geop E '88,TX,
Alumni,2013.0,BSc Geop Eng '13,CO,
Alumni,1987.0,MSc Geop Eng '87,,Saudi Arabia
Alumni,2013.0,BSc Geop Eng '13,,Saudi Arabia
Alumni,2009.0,BSc Geop Eng '09,,Saudi Arabia
Alumni,2009.0,BSc Geop Eng '09,,Saudi Arabia
Alumni,1990.0,BSc Geop Eng '90,TX,
Alumni,2014.0,BSc Geop Eng '14,,Saudi Arabia
Alumni,1994.0,BSc Geop Eng '94,,Saudi Arabia
Alumni,2018.0,BSc Geop Eng '18,CO,
Alumni,2005.0,MSc Geop '05,,Saudi Arabia
Alumni,1978.0,"MSc Geop '78, PhD Geop '87",CO,
Alumni,2017.0,BSc Geop Eng '17,British Columbia,Canada
Alumni,2019.0,MSc Geop '19,TX,
Alumni,2020.0,"BSc Geop Eng '20, MSc Geop '21",CA,
Alumni,1996.0,PhD Geop '96,TX,
Alumni,1967.0,"ME Phy '67, MSc Geop '82",CO,
Alumni,1975.0,BSc Geop Eng '75,LA,
Alumni,1971.0,BSc Geop Eng '71,CO,
Alumni,1990.0,BSc Geop Eng '90,CO,
Alumni,2016.0,MSc Geop '16,,United Kingdom
Alumni,1987.0,Geop Engineer '87,CA,
Alumni,1995.0,PhD Geop Eng '95,,Mexico
Alumni,1993.0,PhD Geop '93,MS,
Alumni,1968.0,Geop Engineer '68,TX,
Alumni,1966.0,"Geop Engineer '66, MSc Geop '69, PhD Geop '74",CO,
Alumni,1953.0,Geop Engineer '53,MD,
Alumni,2021.0,PhD Geop '21,TX,
Alumni,2011.0,MSc Geop '11,TX,
Alumni,2009.0,MSc Geop '09,,France
Alumni,1993.0,"MSc Geop '86, PhD Geop '93",TX,
Alumni,1987.0,BSc Geop Eng '87,,Indonesia
Alumni,1981.0,BSc Geop Eng '81,CO,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1977.0,"MSc Geop '77, PhD Geop '95",CO,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,2013.0,"BSc Geop Eng '13, MSc Geop '16",TX,
Alumni,2020.0,PhD Geop '20,,Mexico
Alumni,2016.0,"BSc Geop Eng '16, MSc Undergrnd Const & Tunneling Eng '18",TX,
Alumni,1992.0,MSc Geop '92,CO,
Alumni,1996.0,BSc Geop Eng '96,CO,
Alumni,1980.0,MSc Geop '80,PR,
Alumni,1975.0,BSc Geop Eng '75,VA,
Alumni,1968.0,"Geop Engineer '68, MSc Geol '95",CO,
Alumni,2010.0,"MSc Geop Eng '10, PhD Geop '19",,Norway
Alumni,2013.0,MSc Geop Eng '13,TX,
Alumni,1989.0,MSc Geop Eng '89,TX,
Alumni,2010.0,"M Eng Pet E '10, PhD Geop '18",CO,
Alumni,2008.0,MSc Geop '08,TX,
Alumni,1983.0,BSc Geop Eng '83,TX,
Alumni,2014.0,MSc Hydrology '14,CO,
Alumni,1987.0,"BSc Eng '87, BSc Geop Eng '87",CA,
Alumni,2015.0,BSc Geop Eng '15,CO,
Alumni,1978.0,"BSc Geop Eng '78, MSc Geop '80, PhD Geop '84",WA,
Alumni,1987.0,Geop Engineer '87,TX,
Alumni,2019.0,PhD Geop '19,NY,
Alumni,2015.0,"BSc Geop Eng '15, MSc Geop '17",CO,
Alumni,2009.0,BSc Geop Eng '09,CO,
Alumni,1985.0,"BSc Geop Eng '85, BSc ME Math '85",CO,
Alumni,1983.0,BSc Geop Eng '83,TX,
Alumni,1971.0,BSc Geop Eng '71,TX,
Alumni,2003.0,"BSc Geop Eng '03, MSc Geop '06",TX,
Alumni,1984.0,MSc Geop '84,MA,
Alumni,1993.0,"BSc Geop Eng '93, Geop Engineer '00",TX,
Alumni,1967.0,PhD Geop Eng '67,MI,
